"Gemeinde_Nr","Gemeinde_Name","Tierversuche_Ja_Anteil","Tierversuche_Nein_Anteil","Tierversuche_Text","Tabakwerbung_Ja_Anteil","Tabakwerbung_Nein_Anteil","Tabakwerbung_Text","Stempelabgaben_Ja_Anteil","Stempelabgaben_Nein_Anteil","Stempelabgaben_Text","Medien_Ja_Anteil","Medien_Nein_Anteil","Medien_Text"
3762,"Scuol GR",25.6,74.4,"Scuol hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 74,4 Prozent abgelehnt. Damit hat in Scuol die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51,3 Prozent.",57.5,42.5,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Scuol. Die Gemeinde hat das Volksbegehren mit 57,5 Prozent der Stimmen angenommen. Damit hat in Scuol seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,7 Prozent ein Verbot der Tabakwerbung abgelehnt.",43.6,56.4,"Scuol hat das Bundesgesetz über die Stempelabgaben mit 56,4 Prozent Nein-Stimmen verworfen.",54.9,45.1,"Ja zum Massnahmenpaket zugunsten der Medien in Scuol. Die Gemeinde hat die Vorlage mit 54,9 Prozent der Stimmen angenommen."
3764,"Valsot GR",25.2,74.8,"In Valsot hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 74,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" in Valsot nicht möglich.",52.3,47.7,"Die Gemeinde Valsot hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 52,3 Prozent Ja-Stimmen angenommen. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" in Valsot nicht möglich.",30,70,"Valsot ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 70 Prozent Nein verworfen.",51.2,48.8,"Die Gemeinde Valsot hat das Massnahmenpaket zugunsten der Medien mit 51,2 Prozent Ja-Stimmen angenommen."
3781,"Bever GR",26.6,73.4,"Nein zum Tier- und Menschenversuchsverbot in Bever: Mit 157 Nein- zu 57 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 73,4 Prozent. Damit hat Bever seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 64,6 Prozent ein Ja in die Urne gelegt.",62.2,37.8,"62,2 Prozent der Stimmbürgerinnen und Stimmbürger von Bever haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Bever seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 63,1 Prozent ein Verbot der Tabakwerbung abgelehnt.",40.1,59.9,"In Bever hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 59,9 Prozent haben die Vorlage abgelehnt.",55.2,44.8,"55,2 Prozent der Stimmbürgerinnen und Stimmbürger von Bever haben das Massnahmenpaket zugunsten der Medien angenommen."
3782,"Celerina/Schlarigna GR",16.8,83.2,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Celerina/Schlarigna. Die Gemeinde hat das Volksbegehren mit 83,2 Prozent abgelehnt. Damit hat in Celerina/Schlarigna die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52,2 Prozent.",47.9,52.1,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Celerina/Schlarigna. Die Gemeinde hat das Volksbegehren mit 52,1 Prozent abgelehnt. Damit sind in Celerina/Schlarigna im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",48.9,51.1,"51,1 Prozent der Stimmbürgerinnen und Stimmbürger von Celerina/Schlarigna haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",50.9,49.1,"Die Gemeinde Celerina/Schlarigna hat das Massnahmenpaket zugunsten der Medien mit 50,9 Prozent angenommen."
3783,"Madulain GR",29.9,70.1,"Mit 47 Nein- zu 20 Ja-Stimmen hat die Gemeinde Madulain die Volksinitiative ""Tier- und Menschenversuchsverbot"" verworfen. Damit sind in Madulain im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 71,4 Prozent.",51.5,48.5,"Die Stimmbevölkerung von Madulain hat sich mit 34 Ja- zu 32 für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" ausgesprochen. Damit hat in Madulain seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 63,2 Prozent ein Verbot der Tabakwerbung abgelehnt.",37.5,62.5,"Madulain hat das Bundesgesetz über die Stempelabgaben mit 40 Nein- zu 24 Ja-Stimmen verworfen.",30.8,69.2,"Mit 45 Nein- zu 20 Ja-Stimmen hat die Gemeinde Madulain das Massnahmenpaket zugunsten der Medien verworfen."
3784,"Pontresina GR",17.3,82.7,"In Pontresina hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 82,7 Prozent verworfen. Damit hat Pontresina seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt.",49.1,50.9,"In Pontresina hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 50,9 Prozent verworfen. Damit sind in Pontresina im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,2 Prozent.",54.3,45.7,"Das Bundesgesetz über die Stempelabgaben ist in Pontresina mit 54,3 Prozent der Stimmen angenommen worden.",50.5,49.5,"In Pontresina hat die Stimmbevölkerung dem Massnahmenpaket zugunsten der Medien zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 50,5 Prozent angenommen."
3785,"La Punt-Chamues-ch GR",26.2,73.8,"In La Punt-Chamues-ch hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 73,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat La Punt-Chamues-ch seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 64,6 Prozent ein Ja in die Urne gelegt.",52.3,47.7,"Die Gemeinde La Punt-Chamues-ch hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 52,3 Prozent Ja-Stimmen angenommen. Damit hat in La Punt-Chamues-ch seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 64,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",53.1,46.9,"Mit 53,1 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in La Punt-Chamues-ch das Bundesgesetz über die Stempelabgaben angenommen.",39.5,60.5,"In La Punt-Chamues-ch hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 60,5 Prozent der abgegebenen Stimmzettel stand ein Nein."
3786,"Samedan GR",18.2,81.8,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Samedan. Die Gemeinde hat das Volksbegehren mit 81,8 Prozent abgelehnt. Damit hat in Samedan die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 50,3 Prozent.",55,45,"Die Gemeinde Samedan hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 55 Prozent angenommen. Damit hat in Samedan seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",47.4,52.6,"52,6 Prozent der Stimmbürgerinnen und Stimmbürger von Samedan haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",51.6,48.4,"Die Gemeinde Samedan hat das Massnahmenpaket zugunsten der Medien mit 51,6 Prozent angenommen."
3787,"St. Moritz GR",18.8,81.2,"St. Moritz hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 81,2 Prozent abgelehnt. Damit hat in St. Moritz die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 56,8 Prozent.",45.6,54.4,"St. Moritz hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 54,4 Prozent abgelehnt. Damit sind in St. Moritz im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 81,7 Prozent.",57.7,42.3,"St. Moritz hat das Bundesgesetz über die Stempelabgaben angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 57,7 Prozent zu.",45.9,54.1,"St. Moritz hat das Massnahmenpaket zugunsten der Medien mit 54,1 Prozent abgelehnt."
3788,"S-chanf GR",23.9,76.1,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in S-chanf. Die Gemeinde hat das Volksbegehren mit 76,1 Prozent abgelehnt. Damit hat S-chanf seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 65,1 Prozent ein Ja in die Urne gelegt.",47.4,52.6,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in S-chanf. Die Gemeinde hat das Volksbegehren mit 52,6 Prozent abgelehnt. Damit sind in S-chanf im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 71,9 Prozent.",43.7,56.3,"56,3 Prozent der Stimmbürgerinnen und Stimmbürger von S-chanf haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",50.3,49.7,"Die Gemeinde S-chanf hat das Massnahmenpaket zugunsten der Medien mit 50,3 Prozent angenommen."
3789,"Sils im Engadin/Segl GR",22,78,"In Sils im Engadin/Segl hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 78 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Sils im Engadin/Segl die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51 Prozent.",52.1,47.9,"Die Gemeinde Sils im Engadin/Segl hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 52,1 Prozent Ja-Stimmen angenommen. Damit hat in Sils im Engadin/Segl seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 79,9 Prozent ein Verbot der Tabakwerbung abgelehnt.",53.5,46.5,"Mit 53,5 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Sils im Engadin/Segl das Bundesgesetz über die Stempelabgaben angenommen.",53.7,46.3,"Die Gemeinde Sils im Engadin/Segl hat das Massnahmenpaket zugunsten der Medien mit 53,7 Prozent Ja-Stimmen angenommen."
3790,"Silvaplana GR",20.2,79.8,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Silvaplana. Die Gemeinde hat das Volksbegehren mit 79,8 Prozent abgelehnt. Damit hat in Silvaplana die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52,2 Prozent.",47.5,52.5,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Silvaplana. Die Gemeinde hat das Volksbegehren mit 52,5 Prozent abgelehnt. Damit sind in Silvaplana im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,2 Prozent.",57.9,42.1,"57,9 Prozent der Stimmbürgerinnen und Stimmbürger von Silvaplana haben sich für das Bundesgesetz über die Stempelabgaben ausgesprochen.",45.9,54.1,"Nein zum Massnahmenpaket zugunsten der Medien in Silvaplana. Die Gemeinde hat die Vorlage mit 54,1 Prozent abgelehnt."
3791,"Zuoz GR",21,79,"79 Prozent der Stimmbürgerinnen und Stimmbürger von Zuoz sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat Zuoz seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 53,7 Prozent ein Ja in die Urne gelegt.",53.3,46.7,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Zuoz: Mit 53,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Zuoz seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 78,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",50.2,49.8,"Mit 165 Ja zu 164 Nein hat sich Zuoz für das Bundesgesetz über die Stempelabgaben ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 50,2 Prozent.",49.7,50.3,"50,3 Prozent der Stimmbürgerinnen und Stimmbürger von Zuoz sagen Nein zum Massnahmenpaket zugunsten der Medien."
3792,"Bregaglia GR",19,81,"In Bregaglia hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 81 Prozent verworfen. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" in Bregaglia nicht möglich.",49.1,50.9,"In Bregaglia hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 50,9 Prozent verworfen. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" in Bregaglia nicht möglich.",47.6,52.4,"Mit 268 Nein zu 243 Ja haben die Stimmbürgerinnen und Stimmbürger von Bregaglia das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 52,4 Prozent.",53.2,46.8,"In Bregaglia hat die Stimmbevölkerung dem Massnahmenpaket zugunsten der Medien zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 53,2 Prozent angenommen."
3804,"Buseno GR",26.7,73.3,"Nein zum Tier- und Menschenversuchsverbot in Buseno. Mit 22 Nein- zu 8 Ja-Stimmen haben die Stimmberechtigten die Volksinitiative verworfen. Damit hat in Buseno die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 70 Prozent.",42.9,57.1,"Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Buseno. Mit 16 Nein- zu 12 Ja-Stimmen haben die Stimmberechtigten die Volksinitiative verworfen. Damit sind in Buseno im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 66,7 Prozent.",75,25,"Ja zum Bundesgesetz über die Stempelabgaben in Buseno. Mit 21 Ja- zu 7 Nein-Stimmen ist Vorlage angenommen worden.",70,30,"Mit 21 Ja- zu 9 Nein-Stimmen hat Buseno das Massnahmenpaket zugunsten der Medien angenommen."
3805,"Castaneda GR",45.9,54.1,"Nein zum Tier- und Menschenversuchsverbot in Castaneda: Mit 60 Nein- zu 51 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 54,1 Prozent. Damit hat Castaneda seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 54,8 Prozent ein Ja in die Urne gelegt.",61.6,38.4,"61,6 Prozent der Stimmbürgerinnen und Stimmbürger von Castaneda haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Castaneda seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 77,5 Prozent ein Verbot der Tabakwerbung abgelehnt.",33,67,"In Castaneda hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 67 Prozent haben die Vorlage abgelehnt.",50.9,49.1,"50,9 Prozent der Stimmbürgerinnen und Stimmbürger von Castaneda haben das Massnahmenpaket zugunsten der Medien angenommen."
3808,"Rossa GR",31.3,68.7,"Mit 46 Nein- zu 21 Ja-Stimmen hat die Gemeinde Rossa die Volksinitiative ""Tier- und Menschenversuchsverbot"" verworfen. Damit hat in Rossa die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 53,7 Prozent.",65.7,34.3,"Die Stimmbevölkerung von Rossa hat sich mit 46 Ja- zu 24 für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" ausgesprochen. Damit hat in Rossa seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",46.3,53.7,"Rossa hat das Bundesgesetz über die Stempelabgaben mit 36 Nein- zu 31 Ja-Stimmen verworfen.",55.2,44.8,"Die Stimmbevölkerung von Rossa hat sich mit 37 Ja- zu 30 für das Massnahmenpaket zugunsten der Medien ausgesprochen."
3810,"Santa Maria in Calanca GR",53.7,46.3,"Die Stimmbevölkerung von Santa Maria in Calanca hat sich mit 22 Ja- zu 19 für die Volksinitiative ""Tier- und Menschenversuchsverbot"" ausgesprochen. Damit hat in Santa Maria in Calanca im Vergleich zur letzten ähnlichen Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 58,8 Prozent ein Nein in die Urne gelegt.",63.6,36.4,"Die Stimmbevölkerung von Santa Maria in Calanca hat sich mit 28 Ja- zu 16 für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" ausgesprochen. Damit hat in Santa Maria in Calanca seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 73,1 Prozent ein Verbot der Tabakwerbung abgelehnt.",40,60,"Santa Maria in Calanca hat das Bundesgesetz über die Stempelabgaben mit 24 Nein- zu 16 Ja-Stimmen verworfen.",50,50,"Unentschieden in Santa Maria in Calanca: Mit je 21 Stimmen halten sich die Befürworter und Gegner der das Massnahmenpaket zugunsten der Medien genau die Waage."
3821,"Lostallo GR",28.6,71.4,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Lostallo: Mit 167 Nein-Stimmen zu 67 Ja-Stimmen oder 71,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Lostallo die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 63,2 Prozent.",56.7,43.3,"56,7 Prozent der Abstimmenden in der Gemeinde Lostallo haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Lostallo seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 73,8 Prozent ein Verbot der Tabakwerbung abgelehnt.",35.3,64.7,"In Lostallo ist das Bundesgesetz über die Stempelabgaben mit 64,7 Prozent gescheitert.",45.6,54.4,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Lostallo: Mit 124 Nein-Stimmen zu 104 Ja-Stimmen oder 54,4 Prozent hat die Gemeinde die Vorlage verworfen."
3822,"Mesocco GR",29.6,70.4,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Mesocco: Mit 226 Nein-Stimmen zu 95 Ja-Stimmen oder 70,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Mesocco die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 52,4 Prozent.",52,48,"52 Prozent der Abstimmenden in der Gemeinde Mesocco haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Mesocco seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,7 Prozent ein Verbot der Tabakwerbung abgelehnt.",41.7,58.3,"In Mesocco ist das Bundesgesetz über die Stempelabgaben mit 58,3 Prozent gescheitert.",48.7,51.3,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Mesocco: Mit 163 Nein-Stimmen zu 155 Ja-Stimmen oder 51,3 Prozent hat die Gemeinde die Vorlage verworfen."
3823,"Soazza GR",24.8,75.2,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Soazza. Die Gemeinde hat das Volksbegehren mit 75,2 Prozent abgelehnt. Damit hat Soazza seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 54,3 Prozent ein Ja in die Urne gelegt.",47.9,52.1,"Nein zum Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Soazza. Die Gemeinde hat das Volksbegehren mit 52,1 Prozent abgelehnt. Damit sind in Soazza im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 75,7 Prozent.",52.2,47.8,"52,2 Prozent der Stimmbürgerinnen und Stimmbürger von Soazza haben sich für das Bundesgesetz über die Stempelabgaben ausgesprochen.",63.2,36.8,"Die Gemeinde Soazza hat das Massnahmenpaket zugunsten der Medien mit 63,2 Prozent angenommen."
3831,"Cama GR",23.5,76.5,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Cama: Mit 78 Nein-Stimmen zu 24 Ja-Stimmen oder 76,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Cama die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 71,1 Prozent.",46.5,53.5,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Cama: Mit 53 Nein-Stimmen zu 46 Ja-Stimmen oder 53,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Cama im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 78,6 Prozent.",36.1,63.9,"In Cama ist das Bundesgesetz über die Stempelabgaben mit 63,9 Prozent gescheitert.",38.4,61.6,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Cama: Mit 61 Nein-Stimmen zu 38 Ja-Stimmen oder 61,6 Prozent hat die Gemeinde die Vorlage verworfen."
3832,"Grono GR",34.3,65.7,"Grono hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 65,7 Prozent abgelehnt. Damit hat in Grono die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 56,7 Prozent.",56.9,43.1,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Grono. Die Gemeinde hat das Volksbegehren mit 56,9 Prozent der Stimmen angenommen. Damit hat in Grono seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,5 Prozent ein Verbot der Tabakwerbung abgelehnt.",36.7,63.3,"Grono hat das Bundesgesetz über die Stempelabgaben mit 63,3 Prozent Nein-Stimmen verworfen.",49.2,50.8,"Grono hat das Massnahmenpaket zugunsten der Medien mit 50,8 Prozent abgelehnt."
